FQ312032.1 Salmonella phage Vi01 complete sequence,"HQ259103.1 Salmonella phage SFP10, complete genome","JN126049.1 Salmonella phage PhiSH19, complete genome","JN593240.1 Escherichia phage Cba120, complete genome","JX128257.1 Escherichia phage ECML-4, complete genome","KF669653.1 Salmonella phage Marshall, complete genome","KF669654.1 Salmonella phage Maynard, complete genome","KJ174317.1 Salmonella phage vB_SalM_SJ2, complete genome","KJ174318.1 Salmonella phage vB_SalM_SJ3, complete genome","KP797973.1 Salmonella phage Det7, complete genome","KR296692.1 Salmonella phage 38, complete genome","KX245012.1 Salmonella phage GG32, complete genome","KX438380.2 Salmonella phage vB-SalM-PM10, complete genome","KX765865.1 Salmonella phage ST-W77, complete genome","KY787213.1 Salmonella phage BSP101, complete genome","MG383452.2 Escherichia phage FEC14, complete genome","MG428992.1 Salmonella phage Mutine, complete genome","MG748547.1 Escherichia phage EP75, complete genome","MH370371.1 Salmonella phage S118, complete genome","MH709120.1 Salmonella phage SenASZ3, complete genome","MH709121.1 Salmonella phage SenALZ1, complete genome","MH791405.1 UNVERIFIED: Salmonella phage SeSz-1, complete genome","MK972690.1 Salmonella phage SE14, complete genome","MK972699.1 Salmonella phage SS9, complete genome","MN871491.1 UNVERIFIED_ORG: Salmonella phage Se-B, complete genome","MN871495.1 UNVERIFIED_ORG: Salmonella phage Se-G, complete genome","MN871498.1 UNVERIFIED_ORG: Salmonella phage Se-J, complete genome","MT074469.1 Salmonella phage rabagast, complete genome","MT074470.1 Salmonella phage heyday, complete genome","MT074471.1 Salmonella phage allotria, complete genome","MT074472.1 Salmonella phage bering, complete genome","MT074474.1 Salmonella phage aagejoakim, complete genome","MT074475.1 Salmonella phage dinky, complete genome","MT074477.1 Salmonella phage barely, complete genome","MT074478.1 Salmonella phage moki, complete genome","MT074479.1 Salmonella phage pertopsoe, complete genome","MT074480.1 Salmonella phage maane, complete genome"
1.0,0.126,0.14,0.15,0.68,0.438,0.486,0.542,0.124,0.154,0.128,0.128,0.126,0.124,0.15,0.152,0.248,0.234,0.224,0.154,0.124,0.148,0.15,0.212,0.154,0.126,0.204,0.196,0.146,0.172,0.186,0.15,0.132,0.214,0.124,0.168,0.158
0.126,1.0,0.522,0.634,0.16,0.218,0.18,0.172,0.562,0.466,0.506,0.72,0.53,0.568,0.644,0.618,0.396,0.352,0.5,0.498,0.592,0.528,0.526,0.434,0.63,0.538,0.408,0.494,0.57,0.374,0.458,0.616,0.57,0.422,0.632,0.338,0.398
0.14,0.522,1.0,0.554,0.172,0.218,0.186,0.19,0.532,0.43,0.528,0.522,0.524,0.542,0.564,0.512,0.408,0.366,0.392,0.578,0.552,0.5,0.57,0.43,0.546,0.538,0.364,0.41,0.514,0.382,0.45,0.488,0.52,0.42,0.576,0.354,0.388
0.15,0.634,0.554,1.0,0.182,0.214,0.18,0.186,0.594,0.464,0.516,0.554,0.53,0.574,0.612,0.64,0.47,0.376,0.498,0.522,0.558,0.476,0.54,0.47,0.612,0.532,0.378,0.496,0.532,0.378,0.466,0.606,0.516,0.434,0.608,0.344,0.406
0.68,0.16,0.172,0.182,1.0,0.416,0.454,0.532,0.144,0.182,0.164,0.158,0.162,0.152,0.18,0.2,0.28,0.258,0.248,0.188,0.142,0.178,0.176,0.244,0.18,0.144,0.228,0.226,0.18,0.174,0.21,0.188,0.16,0.262,0.156,0.188,0.186
0.438,0.218,0.218,0.214,0.416,1.0,0.732,0.342,0.192,0.198,0.174,0.216,0.196,0.19,0.214,0.202,0.246,0.282,0.236,0.228,0.206,0.21,0.214,0.248,0.22,0.174,0.244,0.232,0.214,0.178,0.236,0.206,0.218,0.232,0.196,0.196,0.206
0.486,0.18,0.186,0.18,0.454,0.732,1.0,0.364,0.152,0.168,0.152,0.176,0.16,0.158,0.176,0.166,0.228,0.25,0.234,0.19,0.16,0.186,0.178,0.216,0.182,0.148,0.212,0.216,0.19,0.162,0.204,0.17,0.17,0.212,0.158,0.182,0.186
0.542,0.172,0.19,0.186,0.532,0.342,0.364,1.0,0.174,0.192,0.17,0.168,0.152,0.164,0.186,0.188,0.256,0.244,0.196,0.208,0.174,0.208,0.2,0.202,0.198,0.166,0.21,0.192,0.18,0.178,0.212,0.194,0.184,0.272,0.166,0.2,0.19
0.124,0.562,0.532,0.594,0.144,0.192,0.152,0.174,1.0,0.438,0.56,0.54,0.6,0.692,0.57,0.524,0.41,0.376,0.4,0.494,0.54,0.51,0.542,0.428,0.53,0.532,0.344,0.404,0.53,0.37,0.41,0.52,0.528,0.434,0.576,0.344,0.402
0.154,0.466,0.43,0.464,0.182,0.198,0.168,0.192,0.438,1.0,0.436,0.46,0.468,0.442,0.452,0.432,0.372,0.312,0.336,0.392,0.49,0.444,0.398,0.374,0.444,0.42,0.396,0.372,0.44,0.324,0.42,0.41,0.418,0.426,0.45,0.314,0.376
0.128,0.506,0.528,0.516,0.164,0.174,0.152,0.17,0.56,0.436,1.0,0.488,0.566,0.52,0.532,0.478,0.392,0.366,0.388,0.484,0.494,0.516,0.522,0.4,0.516,0.502,0.348,0.404,0.48,0.342,0.406,0.498,0.524,0.382,0.528,0.322,0.376
0.128,0.72,0.522,0.554,0.158,0.216,0.176,0.168,0.54,0.46,0.488,1.0,0.506,0.532,0.594,0.532,0.384,0.354,0.476,0.464,0.556,0.522,0.522,0.432,0.61,0.548,0.404,0.5,0.562,0.358,0.462,0.548,0.524,0.442,0.624,0.326,0.388
0.126,0.53,0.524,0.53,0.162,0.196,0.16,0.152,0.6,0.468,0.566,0.506,1.0,0.604,0.51,0.46,0.41,0.342,0.398,0.46,0.504,0.484,0.52,0.398,0.478,0.506,0.35,0.434,0.478,0.362,0.392,0.486,0.538,0.426,0.482,0.328,0.388
0.124,0.568,0.542,0.574,0.152,0.19,0.158,0.164,0.692,0.442,0.52,0.532,0.604,1.0,0.574,0.516,0.414,0.36,0.386,0.486,0.512,0.482,0.53,0.428,0.546,0.546,0.346,0.41,0.542,0.35,0.408,0.518,0.52,0.42,0.574,0.32,0.38
0.15,0.644,0.564,0.612,0.18,0.214,0.176,0.186,0.57,0.452,0.532,0.594,0.51,0.574,1.0,0.594,0.442,0.35,0.45,0.506,0.556,0.52,0.534,0.44,0.678,0.572,0.368,0.452,0.636,0.388,0.456,0.598,0.554,0.424,0.664,0.346,0.4
0.152,0.618,0.512,0.64,0.2,0.202,0.166,0.188,0.524,0.432,0.478,0.532,0.46,0.516,0.594,1.0,0.4,0.356,0.444,0.47,0.518,0.47,0.518,0.432,0.564,0.484,0.372,0.448,0.5,0.374,0.406,0.552,0.496,0.394,0.554,0.348,0.4
0.248,0.396,0.408,0.47,0.28,0.246,0.228,0.256,0.41,0.372,0.392,0.384,0.41,0.414,0.442,0.4,1.0,0.336,0.416,0.406,0.4,0.388,0.372,0.398,0.424,0.394,0.322,0.394,0.398,0.298,0.406,0.392,0.372,0.418,0.388,0.254,0.326
0.234,0.352,0.366,0.376,0.258,0.282,0.25,0.244,0.376,0.312,0.366,0.354,0.342,0.36,0.35,0.356,0.336,1.0,0.37,0.34,0.376,0.336,0.362,0.312,0.358,0.302,0.272,0.364,0.352,0.26,0.37,0.354,0.32,0.33,0.35,0.264,0.274
0.224,0.5,0.392,0.498,0.248,0.236,0.234,0.196,0.4,0.336,0.388,0.476,0.398,0.386,0.45,0.444,0.416,0.37,1.0,0.366,0.414,0.422,0.422,0.412,0.458,0.386,0.316,0.764,0.436,0.31,0.436,0.456,0.396,0.314,0.436,0.304,0.322
0.154,0.498,0.578,0.522,0.188,0.228,0.19,0.208,0.494,0.392,0.484,0.464,0.46,0.486,0.506,0.47,0.406,0.34,0.366,1.0,0.494,0.48,0.526,0.406,0.498,0.524,0.348,0.358,0.482,0.382,0.388,0.49,0.522,0.386,0.516,0.364,0.424
0.124,0.592,0.552,0.558,0.142,0.206,0.16,0.174,0.54,0.49,0.494,0.556,0.504,0.512,0.556,0.518,0.4,0.376,0.414,0.494,1.0,0.542,0.536,0.402,0.554,0.562,0.39,0.424,0.516,0.36,0.458,0.526,0.55,0.412,0.588,0.336,0.414
0.148,0.528,0.5,0.476,0.178,0.21,0.186,0.208,0.51,0.444,0.516,0.522,0.484,0.482,0.52,0.47,0.388,0.336,0.422,0.48,0.542,1.0,0.494,0.42,0.532,0.502,0.39,0.416,0.516,0.366,0.456,0.504,0.604,0.442,0.512,0.358,0.446
0.15,0.526,0.57,0.54,0.176,0.214,0.178,0.2,0.542,0.398,0.522,0.522,0.52,0.53,0.534,0.518,0.372,0.362,0.422,0.526,0.536,0.494,1.0,0.444,0.528,0.492,0.37,0.434,0.578,0.372,0.432,0.526,0.592,0.39,0.534,0.34,0.404
0.212,0.434,0.43,0.47,0.244,0.248,0.216,0.202,0.428,0.374,0.4,0.432,0.398,0.428,0.44,0.432,0.398,0.312,0.412,0.406,0.402,0.42,0.444,1.0,0.44,0.42,0.34,0.386,0.434,0.292,0.368,0.414,0.398,0.392,0.42,0.284,0.318
